"CROP_NAME","ZIP_CODE","STATE_NAME","MIN_HARVEST_AREA","MAX_HARVEST_AREA"
"CORN","1238","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1240","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1243","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1244","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1245","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1247","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1253","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1254","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1255","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1256","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1257","MASSACHUSETTS","1","50"
"SOYBEANS","1258","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1258","MASSACHUSETTS","250","250"
"CORN","1258","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1259","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1262","MASSACHUSETTS","250","250"
"HAY & HAYLAGE","1264","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1266","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1267","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1270","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1301","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1330","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1331","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1337","MASSACHUSETTS","50","249"
"SOYBEANS","1337","MASSACHUSETTS","1","50"
"CORN","1337","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1338","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1339","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1340","MASSACHUSETTS","50","249"
"CORN","1340","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1341","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1342","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1343","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1344","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1346","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1349","MASSACHUSETTS","1","50"
"TOBACCO","1351","MASSACHUSETTS","10","10"
"HAY & HAYLAGE","1351","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1354","MASSACHUSETTS","1","50"
"WHEAT","1354","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1355","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1360","MASSACHUSETTS","1","50"
"CORN","1360","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1364","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1366","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1367","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1368","MASSACHUSETTS","1","50"
"TOBACCO","1370","MASSACHUSETTS","0","5"
"HAY & HAYLAGE","1370","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1373","MASSACHUSETTS","50","249"
"WHEAT","1373","MASSACHUSETTS","1","50"
"TOBACCO","1373","MASSACHUSETTS","0","5"
"CORN","1373","MASSACHUSETTS","1","50"
"TOBACCO","1375","MASSACHUSETTS","0","5"
"HAY & HAYLAGE","1375","MASSACHUSETTS","1","50"
"CORN","1375","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1376","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1378","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1379","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1380","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1420","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1430","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1431","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1436","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1440","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1441","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1450","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1451","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1452","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1453","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1460","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1462","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1463","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1464","MASSACHUSETTS","250","250"
"HAY & HAYLAGE","1468","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1469","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1473","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1474","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1475","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1501","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1503","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1504","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1505","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1506","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1507","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1508","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1510","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1515","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1516","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1518","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1519","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1520","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1522","MASSACHUSETTS","1","50"
"WHEAT","1523","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1523","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1524","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1527","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1531","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1534","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1535","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1536","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1537","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1540","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1541","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1542","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1543","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1550","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1561","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1562","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1564","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1566","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1568","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1569","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1571","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1581","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1583","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1585","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1590","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1602","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1612","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1701","MASSACHUSETTS","250","250"
"HAY & HAYLAGE","1719","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1720","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1730","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1740","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1741","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1742","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1746","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1748","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1749","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1752","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1756","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1757","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1770","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1773","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1775","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1776","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1778","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1801","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1803","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1824","MASSACHUSETTS","250","250"
"HAY & HAYLAGE","1826","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1827","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1830","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1831","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1832","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1833","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1834","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1835","MASSACHUSETTS","250","250"
"HAY & HAYLAGE","1845","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1860","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1862","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1879","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1880","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1886","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1913","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1921","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1922","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1929","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1936","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1937","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1938","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1949","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1950","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1951","MASSACHUSETTS","50","249"
"CORN","1952","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1952","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","1960","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1966","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1969","MASSACHUSETTS","1","50"
"SOYBEANS","1982","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1983","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1984","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","1985","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2021","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2030","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2035","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2038","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2043","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2048","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2053","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2054","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2056","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","2067","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2072","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2081","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","2090","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2093","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","2114","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2116","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","2138","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2324","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","2331","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2332","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2333","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2334","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2338","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2344","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2346","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2347","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2356","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","2359","MASSACHUSETTS","1","50"
"CORN","2359","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2360","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2366","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2367","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2368","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2370","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2375","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","2379","MASSACHUSETTS","50","249"
"CORN","2379","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2382","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2420","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2445","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","2482","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2492","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2493","MASSACHUSETTS","1","50"
"CORN","2493","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2532","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2535","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","2536","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2539","MASSACHUSETTS","50","249"
"CORN","2539","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2554","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2568","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2575","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2702","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2703","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2715","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2717","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2718","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2719","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2720","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2726","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2738","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2739","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2740","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2741","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","2743","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2747","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","2748","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2760","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2762","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2764","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2766","MASSACHUSETTS","50","249"
"HAY & HAYLAGE","2767","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2769","MASSACHUSETTS","50","249"
"CORN","2769","MASSACHUSETTS","1","50"
"WHEAT","2769","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2770","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2771","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2777","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2779","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2780","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2790","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2791","MASSACHUSETTS","1","50"
"HAY & HAYLAGE","2804","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2807","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2808","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2809","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2813","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2814","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2816","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2817","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2818","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2822","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2825","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2827","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2828","RHODE ISLAND","50","249"
"HAY & HAYLAGE","2829","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2830","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2831","RHODE ISLAND","50","249"
"HAY & HAYLAGE","2832","RHODE ISLAND","50","249"
"HAY & HAYLAGE","2833","RHODE ISLAND","1","50"
"CORN","2833","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2835","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2837","RHODE ISLAND","1","50"
"CORN","2837","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2839","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2842","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2852","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2857","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2859","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2864","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2865","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2871","RHODE ISLAND","1","50"
"CORN","2871","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2873","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2874","RHODE ISLAND","50","249"
"HAY & HAYLAGE","2875","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2876","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2878","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2879","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2885","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2886","RHODE ISLAND","50","249"
"HAY & HAYLAGE","2888","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2889","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2891","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2892","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2894","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2896","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2898","RHODE ISLAND","50","249"
"HAY & HAYLAGE","2904","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2905","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2910","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2917","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2919","RHODE ISLAND","1","50"
"HAY & HAYLAGE","2921","RHODE ISLAND","1","50"
"HAY & HAYLAGE","3031","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3033","NEW HAMPSHIRE","50","249"
"HAY & HAYLAGE","3034","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3036","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3037","NEW HAMPSHIRE","50","249"
"HAY & HAYLAGE","3038","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3041","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3042","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3043","NEW HAMPSHIRE","50","249"
"HAY & HAYLAGE","3044","NEW HAMPSHIRE","50","249"
"HAY & HAYLAGE","3045","NEW HAMPSHIRE","50","249"
"HAY & HAYLAGE","3046","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3047","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3048","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3049","NEW HAMPSHIRE","1","50"
"CORN","3051","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3051","NEW HAMPSHIRE","50","249"
"HAY & HAYLAGE","3052","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3053","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3054","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3055","NEW HAMPSHIRE","50","249"
"HAY & HAYLAGE","3057","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3070","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3071","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3076","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3077","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3079","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3082","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3084","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3086","NEW HAMPSHIRE","50","249"
"CORN","3086","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3104","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3106","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3109","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3110","NEW HAMPSHIRE","50","249"
"HAY & HAYLAGE","3216","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3217","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3218","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3220","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3221","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3222","NEW HAMPSHIRE","50","249"
"HAY & HAYLAGE","3223","NEW HAMPSHIRE","50","249"
"HAY & HAYLAGE","3224","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3225","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3226","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3227","NEW HAMPSHIRE","1","50"
"HAY & HAYLAGE","3229","NEW HAMPSHIRE","50","249"
"HAY & HAYLAGE","3230","NEW HAMPSHIRE","1","50"
